first,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,last,trans,trans_id,trans_extract,count,cohort
NA,15,15,15,15,15,15,15,48,48,48,48,3,3,15 15 15 15 15 15 15 48 48 48 48 3 3,38,15 15 15 15 15 15 15 ,7,17-Apr
NA,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,116,15 15 ,2,17-Apr
NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 15 NA NA NA NA NA NA NA NA NA NA NA,137,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 15 NA NA NA NA NA NA NA,58,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,46,46,46,46,46,46,46,15 15 15 15 15 15 46 46 46 46 46 46 46,47,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 NA NA NA NA NA NA NA NA NA NA,111,15 15 15 ,3,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,15 15 15 15 15 15 15 15 NA NA NA NA NA,34,15 15 15 15 15 15 15 15 ,8,17-Apr
NA,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,116,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,3,15 15 15 15 15 15 15 15 15 15 15 15 3,3,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,3,3,3,3,3,3,15 15 15 15 15 15 15 3 3 3 3 3 3,35,15 15 15 15 15 15 15 ,7,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,NA,NA,NA,15 15 15 15 15 15 15 15 15 15 NA NA NA,16,15 15 15 15 15 15 15 15 15 15 ,10,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 15 NA NA NA NA NA NA NA NA NA NA NA,137,15 15 ,2,17-Apr
NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 NA NA NA NA NA NA NA NA,69,15 15 15 15 15 ,5,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
48,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
3,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,116,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 15 NA NA NA NA NA NA NA,58,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,NA,15 15 15 15 15 15 15 15 15 15 15 15 NA,6,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,NA,NA,NA,NA,NA,NA,15,NA,NA,15 15 15 15 NA NA NA NA NA NA 15 NA NA,89,15 15 15 15 ,4,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,3,3,3,3,3,3,3,3,3,3,3,3,15 3 3 3 3 3 3 3 3 3 3 3 3,140,15,1,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,NA,NA,NA,NA,NA,NA,15,15,15,15 15 15 15 NA NA NA NA NA NA 15 15 15,88,15 15 15 15 ,4,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,NA,NA,NA,15 15 15 15 15 15 15 15 15 15 NA NA NA,16,15 15 15 15 15 15 15 15 15 15 ,10,17-Apr
NA,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,15 15 15 15 15 15 15 NA NA NA NA NA NA,41,15 15 15 15 15 15 15 ,7,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 NA NA NA NA NA NA NA NA NA NA NA NA,164,15,1,17-Apr
NA,15,15,15,15,15,3,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 3 NA NA NA NA NA NA NA,63,15 15 15 15 15 ,5,17-Apr
NA,15,15,15,15,3,3,3,3,3,3,3,3,3,15 15 15 15 3 3 3 3 3 3 3 3 3,71,15 15 15 15 ,4,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,3,15 15 15 15 15 15 15 15 15 15 15 15 3,3,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
48,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
3,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,48,48,48,48,48,48,48,48,15 15 15 15 15 48 48 48 48 48 48 48 48,64,15 15 15 15 15 ,5,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,116,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,NA,NA,NA,15 15 15 15 15 15 15 15 15 15 NA NA NA,16,15 15 15 15 15 15 15 15 15 15 ,10,17-Apr
NA,15,3,3,3,3,3,3,3,3,3,3,3,3,15 3 3 3 3 3 3 3 3 3 3 3 3,140,15,1,17-Apr
NA,15,NA,NA,NA,NA,NA,NA,48,48,48,48,48,48,15 NA NA NA NA NA NA 48 48 48 48 48 48,163,15,1,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,15 15 15 15 15 15 15 15 15 NA NA NA NA,25,15 15 15 15 15 15 15 15 15 ,9,17-Apr
NA,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 NA NA NA NA NA NA NA NA NA,92,15 15 15 15 ,4,17-Apr
NA,15,3,3,3,3,3,3,3,3,3,3,3,3,15 3 3 3 3 3 3 3 3 3 3 3 3,140,15,1,17-Apr
NA,15,15,15,15,15,15,15,15,15,3,3,3,3,15 15 15 15 15 15 15 15 15 3 3 3 3,18,15 15 15 15 15 15 15 15 15 ,9,17-Apr
NA,15,15,15,15,15,15,15,15,3,3,3,3,3,15 15 15 15 15 15 15 15 3 3 3 3 3,26,15 15 15 15 15 15 15 15 ,8,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,46,15 15 15 15 15 15 15 15 15 15 15 15 46,4,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,3,3,3,3,3,3,15 15 15 15 15 15 15 3 3 3 3 3 3,35,15 15 15 15 15 15 15 ,7,17-Apr
NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 NA NA NA NA NA NA NA NA,69,15 15 15 15 15 ,5,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,48,15 15 15 15 15 15 15 15 15 15 15 15 48,5,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 NA NA NA NA NA NA NA NA,69,15 15 15 15 15 ,5,17-Apr
NA,15,15,48,48,48,48,48,48,NA,NA,NA,NA,NA,15 15 48 48 48 48 48 48 NA NA NA NA NA,129,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,3,3,3,3,3,3,15 15 15 15 15 15 15 3 3 3 3 3 3,35,15 15 15 15 15 15 15 ,7,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,3,3,15 15 15 15 15 15 15 15 15 15 15 3 3,7,15 15 15 15 15 15 15 15 15 15 15 ,11,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 NA NA NA NA NA NA NA NA,69,15 15 15 15 15 ,5,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,15 15 15 15 15 15 15 15 15 NA NA NA NA,25,15 15 15 15 15 15 15 15 15 ,9,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
3,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,3,3,3,3,3,3,3,3,3,15 15 15 15 3 3 3 3 3 3 3 3 3,71,15 15 15 15 ,4,17-Apr
46,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,3,15 15 15 15 NA NA NA NA NA NA NA NA 3,91,15 15 15 15 ,4,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,NA,NA,15 15 15 15 15 15 15 15 15 15 15 NA NA,10,15 15 15 15 15 15 15 15 15 15 15 ,11,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,NA,15 15 15 15 15 15 15 15 15 15 15 15 NA,6,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,48,48,48,48,15 15 15 15 15 15 15 15 15 48 48 48 48,22,15 15 15 15 15 15 15 15 15 ,9,17-Apr
NA,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,116,15 15 ,2,17-Apr
3,15,NA,3,3,3,3,3,3,3,3,3,NA,3,15 NA 3 3 3 3 3 3 3 3 3 NA 3,160,15,1,17-Apr
NA,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 15 NA NA NA NA NA NA NA,58,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,48,48,48,48,48,NA,3,3,3,3,3,15 15 48 48 48 48 48 NA 3 3 3 3 3,130,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 NA NA NA NA NA NA NA NA NA NA NA NA,164,15,1,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,3,15 15 15 15 15 15 15 15 15 15 15 15 3,3,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,3,3,3,3,3,3,3,3,3,3,3,15 15 3 3 3 3 3 3 3 3 3 3 3,116,15 15 ,2,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,3,3,3,3,3,3,3,3,15 15 15 15 15 3 3 3 3 3 3 3 3,59,15 15 15 15 15 ,5,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,48,48,48,48,48,15 15 15 15 15 15 15 15 48 48 48 48 48,31,15 15 15 15 15 15 15 15 ,8,17-Apr
NA,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,15 15 15 15 15 15 NA NA NA NA NA NA NA,58,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,3,3,3,3,NA,NA,NA,15 15 15 15 15 15 3 3 3 3 NA NA NA,44,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,3,3,3,3,3,3,3,15 15 15 15 15 15 3 3 3 3 3 3 3,42,15 15 15 15 15 15 ,6,17-Apr
48,15,15,15,15,15,15,3,3,3,3,3,3,3,15 15 15 15 15 15 3 3 3 3 3 3 3,42,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,3,3,15 15 15 15 15 15 15 15 15 15 15 3 3,7,15 15 15 15 15 15 15 15 15 15 15 ,11,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,NA,NA,15 15 15 15 15 15 15 15 15 15 15 NA NA,10,15 15 15 15 15 15 15 15 15 15 15 ,11,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 15 15 NA NA NA NA NA NA NA NA NA NA,111,15 15 15 ,3,17-Apr
NA,15,15,15,3,3,3,3,3,3,3,3,3,3,15 15 15 3 3 3 3 3 3 3 3 3 3,94,15 15 15 ,3,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,15,15,15,15 15 15 15 15 15 15 15 15 15 15 15 15,2,15 15 15 15 15 15 15 15 15 15 15 15 ,12,17-Apr
NA,15,15,15,15,15,15,3,3,3,3,3,3,3,15 15 15 15 15 15 3 3 3 3 3 3 3,42,15 15 15 15 15 15 ,6,17-Apr
NA,15,15,15,15,15,15,15,15,15,15,3,3,3,15 15 15 15 15 15 15 15 15 15 3 3 3,11,15 15 15 15 15 15 15 15 15 15 ,10,17-Apr
